FBgn,X114,X115,X116,X117
FBgn0030321,0.368,0.177,0.109,0.347
FBgn0028671,0.243077,0.349308,0.261231,0.146
FBgn0014869,0.486,0.181,0.125,0.208
FBgn0025740,0.208,0.2625,0.36,0.1695
FBgn0001624,0.3749,0.2232,0.2278,0.17415
FBgn0030205,0.213,0.122,0.13,0.536
FBgn0025803,0.366,0.267,0.207,0.16
FBgn0032713,0.0775,0.157,0.543,0.2235
FBgn0027779,0.397,0.197,0.182,0.224
FBgn0005671,0.356667,0.331667,0.182,0.13
FBgn0025814,0.108,0.219,0.5265,0.1455
FBgn0039925,0.327,0.177,0.175,0.321
FBgn0030306,0.0876,0.1946,0.5692,0.1482
FBgn0024733,0.135,0.208667,0.291,0.365
FBgn0031544,0.107,0.249,0.492333,0.151667
FBgn0000579,0.4815,0.17825,0.15575,0.1845
FBgn0035423,0.237,0.063,0.202,0.499
FBgn0004435,0.329,0.251,0.262,0.158
FBgn0039188,0.116,0.491,0.266,0.127
FBgn0026415,0.314833,0.261667,0.213,0.210333
FBgn0023143,0.485,0.231,0.154,0.129
FBgn0038914,0.151,0.238,0.213,0.398
FBgn0004907,0.412609,0.270348,0.180696,0.136217
FBgn0010215,0.293,0.222,0.284333,0.201
FBgn0061209,0.0693333,0.0821667,0.249667,0.599167
FBgn0004362,0.054,0.031,0.13,0.785
FBgn0034657,0.12375,0.26725,0.4,0.20875
FBgn0003204,0.354,0.212,0.184,0.25
FBgn0038552,0.151,0.287,0.371,0.191
FBgn0003392,0.3165,0.162,0.16275,0.3585
FBgn0039678,0.0988333,0.300167,0.466167,0.135
FBgn0038535,0.0880364,0.257182,0.509573,0.145318
FBgn0010342,0.122,0.09,0.161,0.627
FBgn0034072,0.323,0.3335,0.224,0.1195
FBgn0031126,0.127,0.314,0.409,0.15
FBgn0030329,0.0971429,0.282,0.470905,0.14981
FBgn0011259,0.295,0.33,0.276,0.0995
FBgn0061355,0.197,0.351,0.271,0.18
FBgn0033476,0.0855,0.2365,0.493,0.1855
FBgn0028527,0.549,0.187,0.167,0.097
FBgn0003189,0.3542,0.1252,0.1184,0.4022
FBgn0040259,0.097,0.205,0.5315,0.1665
FBgn0025743,0.2885,0.216,0.2665,0.2295
FBgn0028670,0.315,0.2534,0.223,0.2084
FBgn0019947,0.368,0.277,0.214,0.141
FBgn0042134,0.3085,0.181,0.166,0.3445
FBgn0039757,0.158,0.1225,0.1805,0.5385
FBgn0033424,0.179,0.119,0.1205,0.5815
FBgn0030343,0.252,0.3775,0.2455,0.125
FBgn0022349,0.081,0.088,0.143,0.689
FBgn0039875,0.064,0.318,0.444,0.174
FBgn0030276,0.195,0.106,0.173,0.526
FBgn0037469,0.122667,0.326667,0.410667,0.14
FBgn0004636,0.336333,0.235333,0.243667,0.185333
FBgn0027620,0.124,0.154,0.183,0.539
FBgn0030341,0.0726667,0.352667,0.449667,0.125
FBgn0039909,0.3195,0.061,0.09,0.5295
FBgn0003470,0.274341,0.232909,0.308682,0.184045
FBgn0037383,0.0915,0.3845,0.386,0.1375
FBgn0010198,0.1704,0.135,0.1558,0.539
FBgn0002780,0.034,0.042,0.07,0.853
FBgn0014469,0.08475,0.27375,0.4855,0.156
FBgn0015034,0.111,0.126,0.573,0.19
FBgn0033205,0.11,0.307,0.441667,0.141
FBgn0033204,0.2345,0.23625,0.36475,0.1645
FBgn0037328,0.11275,0.14825,0.347,0.39175
FBgn0020653,0.2735,0.23,0.256,0.2405
FBgn0025704,0.296625,0.24325,0.290125,0.169875
FBgn0017545,0.247333,0.126667,0.132167,0.493833
FBgn0003738,0.445,0.24,0.172,0.143
FBgn0001122,0.3015,0.342,0.23,0.1265
FBgn0022893,0.393,0.252,0.236,0.118
FBgn0000150,0.387667,0.272,0.2,0.14
